"","Date","Tav","dprcp","hil_ind","Elevation","dayl","Tma","Pma","simSWE","dSWE","dSWElag"
"1",1996-09-01,-0.517391835088292,6.77499995581456,194,2536,13.3484973034227,NA,NA,0,0,0
"2",1996-09-02,0.237495676676455,0.104000002465909,194,2536,13.294743480816,NA,NA,0,0,0
"3",1996-09-03,4.42916514078778,0,194,2536,13.2408443612375,NA,NA,0,0,0
"4",1996-09-04,4.23333384195966,0.107999997271691,194,2536,13.1868080120409,NA,NA,0,0,0
"5",1996-09-05,1.82500101725263,0.324000004911795,194,2536,13.1326422313826,10.2076038415882,7.31099996046396,0,0,0
"6",1996-09-06,-0.875003560384092,3.37899997830391,194,2536,13.0783545622259,9.84999211629243,3.91499998295331,0,0,0
"7",1996-09-07,-3.94999796549477,8.03499973408179,194,2536,13.0239523064878,5.66249847412121,11.8459997145692,0,0,0
"8",1996-09-08,-2.78749949137368,0,194,2536,12.9694425393139,-1.55416615804025,11.8459997145692,0,0,0
"9",1996-09-09,-1.31666666666664,0,194,2536,12.9148321234679,-7.10416666666655,11.7379997172975,0,0,0
"10",1996-09-10,-0.525001271565733,0,194,2536,12.8601277238234,-9.45416895548492,11.4139997123857,0,0,0
"11",1996-09-11,1.86666641235354,0,194,2536,12.8053358219494,-6.71249898274728,8.03499973408179,0,0,0
"12",1996-09-12,1.20416793823244,1.17600000521634,194,2536,12.75046273078,-1.55833307902007,1.17600000521634,0,0,0
"13",1996-09-13,-5.094585164388,41.0909995698603,194,2536,12.6955146093647,-3.86541875203439,42.2669995750766,0,0,0
"14",1996-09-14,-3.55833155314125,32.3629999547848,194,2536,12.6404974776918,-6.107083638509,74.6299995298614,0,0,0
"15",1996-09-15,-1.92500279744464,0.109999997948762,194,2536,12.5854172315841,-7.50708516438791,74.7399995278102,0,0,0
"16",1996-09-16,-1.51666997273761,0,194,2536,12.5302796576631,-10.8904215494791,74.7399995278102,0,0,0
"17",1996-09-17,0.300000762939476,0,194,2536,12.4750904483822,-11.794588724772,73.5639995225939,0,0,0
"18",1996-09-18,0.487502034505231,3.65699994144961,194,2536,12.4198552171277,-6.21250152587879,36.1299998941832,0,0,0
"19",1996-09-19,1.61250203450523,0,194,2536,12.3645795133904,-1.04166793823231,3.76699993939837,0,0,0
"20",1996-09-20,0.520833587646507,1.72200002634781,194,2536,12.3092688380075,1.40416844685883,5.37899996779742,0,0,0
"21",1996-09-21,0.429166412353538,0.218999995558988,194,2536,12.2539286584786,3.35000483194998,5.59799996335641,0,0,0
"22",1996-09-22,1.69583536783856,0.202000002900604,194,2536,12.198564424358,4.74583943684907,5.79999996625701,0,0,0
"23",1996-09-23,-0.66249821980792,22.8840001378558,194,2536,12.1431815827269,3.59583918253592,25.0270001626632,0,0,0
"24",1996-09-24,-3.01666870117185,3.12800001120195,194,2536,12.0877855937483,-1.03333155314117,28.1550001738652,0,0,0
"25",1996-09-25,-3.13750050862628,0.21000000560889,194,2536,12.0323819463082,-4.69166564941395,26.6430001531262,0,0,0
"26",1996-09-26,-2.67500025431313,0,194,2536,11.9769761737475,-7.79583231608062,26.4240001575672,0,0,0
"27",1996-09-27,1.69583282470705,4.4030000892235,194,2536,11.9215738696859,-7.79583485921213,30.6250002438901,0,0,0
"28",1996-09-28,-0.637500508626279,22.6839998736978,194,2536,11.8661807039422,-7.77083714803049,30.4249999797321,0,0,0
"29",1996-09-29,4.44166844685875,0,194,2536,11.8108024385534,-0.312499999999889,27.2969999685302,0,0,0
"30",1996-09-30,8.12500406901044,0,194,2536,11.7554449438927,10.9500045776368,27.0869999629213,0,0,0
"31",1996-10-01,4.82916666666669,2.52200004179031,194,2536,11.7001142148892,18.4541714986167,29.6090000047116,0,0,0
"32",1996-10-02,-3.17083587646482,34.1759999922942,194,2536,11.644816387349,13.5875027974448,59.3819999077823,0,0,0
"33",1996-10-03,-4.2666674296061,0,194,2536,11.5895577543747,9.95833587646496,36.6980000340845,0,0,0
"34",1996-10-04,1.82916793823244,0,194,2536,11.5343447828843,7.34583536783865,36.6980000340845,0,0,0
"35",1996-10-05,-1.2083318074544,0,194,2536,11.4791841302217,-1.98750050862619,36.6980000340845,0,0,0
"36",1996-10-06,-1.40416819254555,0,194,2536,11.4240826608569,-8.22083536783843,34.1759999922942,0,0,0
"37",1996-10-07,2.62083333333336,0,194,2536,11.3690474631664,-2.42916615804025,0,0,0,0
"38",1996-10-08,3.13749720255536,0,194,2536,11.3140858662848,4.97499847412121,0,0,0,0
"39",1996-10-09,0.288749949137393,0.100000001111766,194,2536,11.2592054570165,3.43458048502616,0.100000001111766,0,0,0
"40",1996-10-10,-0.666667683919248,2.19999998516869,194,2536,11.2044140967939,3.97624460856132,2.29999998628046,0,0,0
"41",1996-10-11,0.733331298828148,0,194,2536,11.1497199386635,6.11374409993501,2.29999998628046,0,0,0
"42",1996-10-12,0.779168701171898,0,194,2536,11.0951314442837,4.27207946777355,2.29999998628046,0,0,0
"43",1996-10-13,0.15833435058596,0,194,2536,11.040657400908,1.29291661580415,2.29999998628046,0,0,0
"44",1996-10-14,1.16250127156578,0,194,2536,10.986306938331,2.16666793823254,2.19999998516869,0,0,0
"45",1996-10-15,2.4708330790202,2.16099995232071,194,2536,10.9320895457654,5.30416870117199,2.16099995232071,0,0,0
"46",1996-10-16,-0.233333333333311,18.6679998631007,194,2536,10.878015088619,4.33750406901053,20.8289998154214,0,0,0
"47",1996-10-17,-4.16250076293943,11.6739999837591,194,2536,10.824093825132,-0.604165395100801,32.5029997991805,0,0,0
